jobid,name,url,remote_testing,adaptive_support,test_type,Assessment Length,text_for_embedding
4028.0,Amazon Web Services (AWS) Development (New),/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6,Test Name: Amazon Web Services (AWS) Development (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 6 minutes
4160.0,Android Development (New),/products/product-catalog/view/android-development-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7,Test Name: Android Development (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 7 minutes
4153.0,Angular 6 (New),/products/product-catalog/view/angular-6-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 11,Test Name: Angular 6 (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 11 minutes
4021.0,AngularJS (New),/products/product-catalog/view/angularjs-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: AngularJS (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
4030.0,Apache Hadoop (New),/products/product-catalog/view/apache-hadoop-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7,Test Name: Apache Hadoop (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 7 minutes
4011.0,Apache Hadoop Extensions (New),/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: Apache Hadoop Extensions (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
4073.0,Apache HBase (New),/products/product-catalog/view/apache-hbase-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5,Test Name: Apache HBase (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 5 minutes
4075.0,Apache Hive (New),/products/product-catalog/view/apache-hive-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5,Test Name: Apache Hive (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 5 minutes
4022.0,Apache Kafka (New),/products/product-catalog/view/apache-kafka-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6,Test Name: Apache Kafka (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 6 minutes
4115.0,Apache Pig (New),/products/product-catalog/view/apache-pig-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6,Test Name: Apache Pig (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 6 minutes
4023.0,Apache Spark (New),/products/product-catalog/view/apache-spark-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8,Test Name: Apache Spark (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 8 minutes
4017.0,ASP .NET with C# (New),/products/product-catalog/view/asp-net-with-c-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: ASP .NET with C# (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
3786.0,ASP.NET 4.5,/products/product-catalog/view/asp-net-4-5/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 30,Test Name: ASP.NET 4.5 | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: Yes | Time required: 30 minutes
4219.0,Assessment and Development Center Exercises,/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,Assessment Exercises,Approximate Completion Time in minutes = Variable,Test Name: Assessment and Development Center Exercises | Test Types: Assessment Exercises | Remote: Yes | Adaptive: No
3980.0,Automata - Fix (New),/products/product-catalog/view/automata-fix-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 20,Test Name: Automata - Fix (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 20 minutes
3981.0,Automata - SQL (New),/products/product-catalog/view/automata-sql-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 30,Test Name: Automata - SQL (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 30 minutes
3984.0,Automata (New),/products/product-catalog/view/automata-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 45,Test Name: Automata (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 45 minutes
3982.0,Automata Data Science (New),/products/product-catalog/view/automata-data-science-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 60,Test Name: Automata Data Science (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 60 minutes
3983.0,Automata Data Science Pro (New),/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 60,Test Name: Automata Data Science Pro (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 60 minutes
4222.0,Automata Front End,/products/product-catalog/view/automata-front-end/,Yes,No,Simulations,Approximate Completion Time in minutes = 30,Test Name: Automata Front End | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 30 minutes
3985.0,Automata Pro (New),/products/product-catalog/view/automata-pro-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 60,Test Name: Automata Pro (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 60 minutes
4229.0,Automata Selenium,/products/product-catalog/view/automata-selenium/,Yes,No,Simulations,Approximate Completion Time in minutes = 60,Test Name: Automata Selenium | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 60 minutes
4026.0,Automation Anywhere RPA Development (New),/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8,Test Name: Automation Anywhere RPA Development (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 8 minutes
4025.0,Automotive Engineering (New),/products/product-catalog/view/automotive-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: Automotive Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
3988.0,Basic Biology (New),/products/product-catalog/view/basic-biology-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 6,Test Name: Basic Biology (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 6 minutes
4206.0,Basic Computer Literacy (Windows 10) (New),/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,"Simulations, Knowledge & Skills",Approximate Completion Time in minutes = 30,"Test Name: Basic Computer Literacy (Windows 10) (New) | Test Types: Simulations, Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 30 minutes"
4149.0,Basic Statistics (New),/products/product-catalog/view/basic-statistics-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: Basic Statistics (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4161.0,Biochemistry (New),/products/product-catalog/view/biochemistry-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8,Test Name: Biochemistry (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 8 minutes
4036.0,Biotech Lab Techniques (New),/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5,Test Name: Biotech Lab Techniques (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 5 minutes
4037.0,BizTalk (New),/products/product-catalog/view/biztalk-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 16,Test Name: BizTalk (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 16 minutes
244.0,Business Communication (adaptive),/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 24,Test Name: Business Communication (adaptive) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: Yes | Time required: 24 minutes
536.0,Business Communications,/products/product-catalog/view/business-communications/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 35,Test Name: Business Communications | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 35 minutes
4038.0,C Programming (New),/products/product-catalog/view/c-programming-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: C Programming (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4039.0,C# Programming (New),/products/product-catalog/view/c-programming-new-4039/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: C# Programming (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
4122.0,C++ Programming (New),/products/product-catalog/view/c-programming-new-4122/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: C++ Programming (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4077.0,Cardiology and Diabetes Management (New),/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 4,Test Name: Cardiology and Diabetes Management (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 4 minutes
4044.0,Ceramic Engineering (New),/products/product-catalog/view/ceramic-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 12,Test Name: Ceramic Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 12 minutes
4012.0,Chemical Engineering (New),/products/product-catalog/view/chemical-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: Chemical Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
4024.0,Cisco AppDynamics (New),/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: Cisco AppDynamics (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
4150.0,Civil Engineering (New),/products/product-catalog/view/civil-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: Civil Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4045.0,Cloud Computing (New),/products/product-catalog/view/cloud-computing-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8,Test Name: Cloud Computing (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 8 minutes
4046.0,COBOL Programming (New),/products/product-catalog/view/cobol-programming-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: COBOL Programming (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4104.0,Computer Science (New),/products/product-catalog/view/computer-science-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 12,Test Name: Computer Science (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 12 minutes
4189.0,Contact Center Call Simulation (New),/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 15,Test Name: Contact Center Call Simulation (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 15 minutes
4296.0,Conversational Multichat Simulation,/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,Simulations,Approximate Completion Time in minutes = 11,Test Name: Conversational Multichat Simulation | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 11 minutes
4034.0,Core Java (Advanced Level) (New),/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: Core Java (Advanced Level) (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
4032.0,Core Java (Entry Level) (New),/products/product-catalog/view/core-java-entry-level-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: Core Java (Entry Level) (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
3458.0,Count Out The Money,/products/product-catalog/view/count-out-the-money/,Yes,Yes,"Knowledge & Skills, Simulations",Approximate Completion Time in minutes = 5,"Test Name: Count Out The Money | Test Types: Knowledge & Skills, Simulations | Remote: Yes | Adaptive: Yes | Time required: 5 minutes"
4052.0,CSS3 (New),/products/product-catalog/view/css3-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8,Test Name: CSS3 (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 8 minutes
4050.0,Culinary Skills (New),/products/product-catalog/view/culinary-skills-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7,Test Name: Culinary Skills (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 7 minutes
3933.0,Customer Service Phone Simulation,/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,"Biodata & Situational Judgement, Simulations",Approximate Completion Time in minutes = 20,"Test Name: Customer Service Phone Simulation | Test Types: Biodata & Situational Judgement, Simulations | Remote: Yes | Adaptive: No | Time required: 20 minutes"
3931.0,Customer Service Phone Solution,/products/product-catalog/view/customer-service-phone-solution/,Yes,No,"Biodata & Situational Judgement, Personality & Behavior, Simulations",Approximate Completion Time in minutes = 30,"Test Name: Customer Service Phone Solution | Test Types: Biodata & Situational Judgement, Personality & Behavior, Simulations | Remote: Yes | Adaptive: No | Time required: 30 minutes"
4053.0,Cyber Risk (New),/products/product-catalog/view/cyber-risk-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: Cyber Risk (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
4186.0,Data Entry (New),/products/product-catalog/view/data-entry-new/,Yes,No,Simulations,Approximate Completion Time in minutes = 4,Test Name: Data Entry (New) | Test Types: Simulations | Remote: Yes | Adaptive: No | Time required: 4 minutes
778.0,Data Entry Alphanumeric Split Screen - US,/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5,Test Name: Data Entry Alphanumeric Split Screen - US | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 5 minutes
779.0,Data Entry Numeric Split Screen - US,/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 5,Test Name: Data Entry Numeric Split Screen - US | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 5 minutes
785.0,Data Entry Ten Key Split Screen,/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 3,Test Name: Data Entry Ten Key Split Screen | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 3 minutes
4013.0,Data Science (New),/products/product-catalog/view/data-science-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 14,Test Name: Data Science (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 14 minutes
56.0,Data Warehousing Concepts,/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,Knowledge & Skills,Approximate Completion Time in minutes = 25,Test Name: Data Warehousing Concepts | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: Yes | Time required: 25 minutes
731.0,Dependability and Safety Instrument (DSI),/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes = 10,Test Name: Dependability and Safety Instrument (DSI) | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No | Time required: 10 minutes
4162.0,Dermatology (New),/products/product-catalog/view/dermatology-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 3,Test Name: Dermatology (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 3 minutes
4101.0,Desktop Support (New),/products/product-catalog/view/desktop-support-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8,Test Name: Desktop Support (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 8 minutes
4003.0,Digital Advertising (New),/products/product-catalog/view/digital-advertising-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7,Test Name: Digital Advertising (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 7 minutes
4221.0,Digital Readiness Development Report - IC,/products/product-catalog/view/digital-readiness-development-report/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes =,Test Name: Digital Readiness Development Report - IC | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No
4239.0,Digital Readiness Development Report - Manager,/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes =,Test Name: Digital Readiness Development Report - Manager | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No
4059.0,Docker (New),/products/product-catalog/view/docker-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 10,Test Name: Docker (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 10 minutes
4060.0,Dojo (New),/products/product-catalog/view/dojo-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 11,Test Name: Dojo (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 11 minutes
4062.0,Drupal (New),/products/product-catalog/view/drupal-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 17,Test Name: Drupal (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 17 minutes
1102.0,DSI v1.1 Interpretation Report,/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes =,Test Name: DSI v1.1 Interpretation Report | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No
4148.0,Econometrics (New),/products/product-catalog/view/econometrics-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 11,Test Name: Econometrics (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 11 minutes
4009.0,Economics (New),/products/product-catalog/view/economics-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 13,Test Name: Economics (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 13 minutes
4001.0,Electrical and Electronics Engineering (New),/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 14,Test Name: Electrical and Electronics Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 14 minutes
4031.0,Electrical Engineering (New),/products/product-catalog/view/electrical-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 8,Test Name: Electrical Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 8 minutes
4002.0,Electronics & Telecommunications Engineering (New),/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 15,Test Name: Electronics & Telecommunications Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 15 minutes
4000.0,Electronics and Embedded Systems Engineering (New),/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 18,Test Name: Electronics and Embedded Systems Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 18 minutes
4139.0,Electronics and Semiconductor Engineering (New),/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 7,Test Name: Electronics and Semiconductor Engineering (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 7 minutes
4180.0,English Comprehension (New),/products/product-catalog/view/english-comprehension-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 0,Test Name: English Comprehension (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 0 minutes
4063.0,Enterprise Java Beans (New),/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 4,Test Name: Enterprise Java Beans (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 4 minutes
3856.0,Enterprise Leadership Report 1.0,/products/product-catalog/view/enterprise-leadership-report/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes =,Test Name: Enterprise Leadership Report 1.0 | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No
4287.0,Enterprise Leadership Report 2.0,/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,Personality & Behavior,Approximate Completion Time in minutes =,Test Name: Enterprise Leadership Report 2.0 | Test Types: Personality & Behavior | Remote: Yes | Adaptive: No
3934.0,Entry Level Cashier Solution,/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,"Competencies, Personality & Behavior",Approximate Completion Time in minutes = 19,"Test Name: Entry Level Cashier Solution | Test Types: Competencies, Personality & Behavior | Remote: Yes | Adaptive: No | Time required: 19 minutes"
3939.0,Entry Level Customer Serv-Retail & Contact Center,/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,"Personality & Behavior, Competencies",Approximate Completion Time in minutes = 19,"Test Name: Entry Level Customer Serv-Retail & Contact Center | Test Types: Personality & Behavior, Competencies | Remote: Yes | Adaptive: No | Time required: 19 minutes"
3935.0,Entry Level Customer Service (General) Solution,/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,"Competencies, Personality & Behavior",Approximate Completion Time in minutes = 14,"Test Name: Entry Level Customer Service (General) Solution | Test Types: Competencies, Personality & Behavior | Remote: Yes | Adaptive: No | Time required: 14 minutes"
3936.0,Entry Level Hotel Front Desk Solution,/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,"Competencies, Personality & Behavior",Approximate Completion Time in minutes = 20,"Test Name: Entry Level Hotel Front Desk Solution | Test Types: Competencies, Personality & Behavior | Remote: Yes | Adaptive: No | Time required: 20 minutes"
3937.0,Entry Level Sales Solution,/products/product-catalog/view/entry-level-sales-solution/,Yes,No,"Competencies, Personality & Behavior",Approximate Completion Time in minutes = 20,"Test Name: Entry Level Sales Solution | Test Types: Competencies, Personality & Behavior | Remote: Yes | Adaptive: No | Time required: 20 minutes"
3938.0,Entry Level Technical Support Solution,/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,"Personality & Behavior, Competencies",Approximate Completion Time in minutes = 18,"Test Name: Entry Level Technical Support Solution | Test Types: Personality & Behavior, Competencies | Remote: Yes | Adaptive: No | Time required: 18 minutes"
4065.0,ETL Testing (New),/products/product-catalog/view/etl-testing-new/,Yes,No,Knowledge & Skills,Approximate Completion Time in minutes = 9,Test Name: ETL Testing (New) | Test Types: Knowledge & Skills | Remote: Yes | Adaptive: No | Time required: 9 minutes
